Oct  2 16:19:08 k8s-master-01 systemd: Started kubelet: The Kubernetes Node Agent.
Oct  2 16:19:08 k8s-master-01 kubelet: Flag --cgroup-driver has been deprecated, This parameter should be set via the config file specified by the Kubelet's --config flag. See https://kubernetes.io/docs/tasks/administer-cluster/kubelet-config-file/ for more information.
Oct  2 16:19:09 k8s-master-01 kubelet: I1002 16:19:09.895076    3514 reflector.go:185] Listing and watching *v1.Pod from k8s.io/kubernetes/pkg/kubelet/config/apiserver.go:46
Oct  2 16:19:09 k8s-master-01 kubelet: I1002 16:19:09.895965    3514 reflector.go:185] Listing and watching *v1.Node from k8s.io/kubernetes/pkg/kubelet/kubelet.go:458
Oct  2 16:19:09 k8s-master-01 kubelet: E1002 16:19:09.896455    3514 reflector.go:153] k8s.io/kubernetes/pkg/kubelet/kubelet.go:449: Failed to list *v1.Service: Get https://k8s-server-lb:8443/api/v1/services?limit=500&resourceVersion=0: EOF
Oct  2 16:19:09 k8s-master-01 kubelet: E1002 16:19:09.896545    3514 reflector.go:153] k8s.io/kubernetes/pkg/kubelet/config/apiserver.go:46: Failed to list *v1.Pod: Get https://k8s-server-lb:8443/api/v1/pods?fieldSelector=spec.nodeName%3Dk8s-master-01&limit=500&resourceVersion=0: EOF
Oct  2 16:19:09 k8s-master-01 kubelet: I1002 16:19:09.896785    3514 request.go:848] Got a Retry-After 1s response for attempt 1 to https://k8s-server-lb:8443/api/v1/nodes?fieldSelector=metadata.name%3Dk8s-master-01&limit=500&resourceVersion=0
Oct  2 16:19:10 k8s-master-01 kubelet: I1002 16:19:10.898190    3514 reflector.go:185] Listing and watching *v1.Service from k8s.io/kubernetes/pkg/kubelet/kubelet.go:449
Oct  2 16:19:10 k8s-master-01 kubelet: I1002 16:19:10.898274    3514 reflector.go:185] Listing and watching *v1.Pod from k8s.io/kubernetes/pkg/kubelet/config/apiserver.go:46
Oct  2 16:19:10 k8s-master-01 kubelet: I1002 16:19:10.899757    3514 request.go:848] Got a Retry-After 1s response for attempt 2 to https://k8s-server-lb:8443/api/v1/nodes?fieldSelector=metadata.name%3Dk8s-master-01&limit=500&resourceVersion=0
Oct  2 16:19:10 k8s-master-01 kubelet: I1002 16:19:10.899821    3514 request.go:848] Got a Retry-After 1s response for attempt 1 to https://k8s-server-lb:8443/api/v1/pods?fieldSelector=spec.nodeName%3Dk8s-master-01&limit=500&resourceVersion=0
Oct  2 16:19:10 k8s-master-01 kubelet: I1002 16:19:10.899879    3514 request.go:848] Got a Retry-After 1s response for attempt 1 to https://k8s-server-lb:8443/api/v1/services?limit=500&resourceVersion=0
Oct  2 16:19:11 k8s-master-01 kubelet: I1002 16:19:11.902501    3514 request.go:848] Got a Retry-After 1s response for attempt 2 to https://k8s-server-lb:8443/api/v1/services?limit=500&resourceVersion=0
Oct  2 16:19:11 k8s-master-01 kubelet: E1002 16:19:11.902537    3514 reflector.go:153] k8s.io/kubernetes/pkg/kubelet/config/apiserver.go:46: Failed to list *v1.Pod: Get https://k8s-server-lb:8443/api/v1/pods?fieldSelector=spec.nodeName%3Dk8s-master-01&limit=500&resourceVersion=0: EOF
Oct  2 16:19:11 k8s-master-01 kubelet: I1002 16:19:11.902613    3514 request.go:848] Got a Retry-After 1s response for attempt 3 to https://k8s-server-lb:8443/api/v1/nodes?fieldSelector=metadata.name%3Dk8s-master-01&limit=500&resourceVersion=0
Oct  2 16:19:12 k8s-master-01 kubelet: I1002 16:19:12.903268    3514 reflector.go:185] Listing and watching *v1.Pod from k8s.io/kubernetes/pkg/kubelet/config/apiserver.go:46
Oct  2 16:19:12 k8s-master-01 kubelet: E1002 16:19:12.904245    3514 reflector.go:153] k8s.io/kubernetes/pkg/kubelet/config/apiserver.go:46: Failed to list *v1.Pod: Get https://k8s-server-lb:8443/api/v1/pods?fieldSelector=spec.nodeName%3Dk8s-master-01&limit=500&resourceVersion=0: EOF
Oct  2 16:19:12 k8s-master-01 kubelet: I1002 16:19:12.904333    3514 request.go:848] Got a Retry-After 1s response for attempt 4 to https://k8s-server-lb:8443/api/v1/nodes?fieldSelector=metadata.name%3Dk8s-master-01&limit=500&resourceVersion=0
Oct  2 16:19:12 k8s-master-01 kubelet: E1002 16:19:12.904386    3514 reflector.go:153] k8s.io/kubernetes/pkg/kubelet/kubelet.go:449: Failed to list *v1.Service: Get https://k8s-server-lb:8443/api/v1/services?limit=500&resourceVersion=0: EOF

Oct  2 16:19:13 k8s-master-01 kubelet: I1002 16:19:13.907542    3514 reflector.go:185] Listing and watching *v1.Pod from k8s.io/kubernetes/pkg/kubelet/config/apiserver.go:46
Oct  2 16:19:13 k8s-master-01 kubelet: E1002 16:19:13.908051    3514 reflector.go:153] k8s.io/kubernetes/pkg/kubelet/kubelet.go:458: Failed to list *v1.Node: Get https://k8s-server-lb:8443/api/v1/nodes?fieldSelector=metadata.name%3Dk8s-master-01&limit=500&resourceVersion=0: EOF
Oct  2 16:19:13 k8s-master-01 kubelet: I1002 16:19:13.908077    3514 reflector.go:185] Listing and watching *v1.Service from k8s.io/kubernetes/pkg/kubelet/kubelet.go:449
Oct  2 16:19:13 k8s-master-01 kubelet: I1002 16:19:13.908302    3514 request.go:848] Got a Retry-After 1s response for attempt 1 to https://k8s-server-lb:8443/api/v1/pods?fieldSelector=spec.nodeName%3Dk8s-master-01&limit=500&resourceVersion=0
Oct  2 16:19:13 k8s-master-01 kubelet: I1002 16:19:13.908917    3514 request.go:848] Got a Retry-After 1s response for attempt 1 to https://k8s-server-lb:8443/api/v1/services?limit=500&resourceVersion=0
Oct  2 16:19:13 k8s-master-01 kubelet: I1002 16:19:13.947245    3514 cni.go:206] Using CNI configuration file /etc/cni/net.d/10-flannel.conflist


